model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
resnet18,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,98.42,98.85,99.1,98.98,3.83,0.9,6183,72,56,1809,0.215,0.049,0.175,1.192,0.005,0.002,0.002,0.07,0.032,0.012,0.022,0.621,1.882,0.864,0.843,6.943,1.134,0.938,0.467,7.088,5.028,1.108,4.248,14.624,0.242,0.063,0.193,1.273,8.758,2.325,6.452,23.657
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.96,98.22,99.13,98.68,5.95,0.87,6185,112,54,1769,0.246,0.072,0.178,3.156,0.005,0.002,0.002,0.085,0.053,0.021,0.04,0.694,4.831,2.303,1.783,17.962,1.908,1.467,0.768,9.859,8.244,1.839,4.336,18.455,0.273,0.071,0.205,1.243,16.006,4.647,8.424,37.21
resnet18,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,76.53,98.07,70.84,82.26,4.63,29.16,4420,87,1819,1794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.413,0.978,2.878,10.547,1.564,0.907,0.447,7.62,5.107,1.115,4.283,14.06,0.254,0.064,0.196,2.701,11.584,2.332,8.299,24.887
resnet34,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,96.95,97.42,98.64,98.02,8.67,1.36,6154,163,85,1718,0.213,0.04,0.179,0.945,0.005,0.003,0.002,0.087,0.032,0.009,0.023,0.207,1.896,0.84,0.815,7.15,1.143,0.929,0.482,6.891,5.031,1.071,4.275,12.726,0.247,0.059,0.197,1.01,8.783,2.252,6.43,22.626
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.43,96.79,98.62,97.7,10.85,1.38,6153,204,86,1677,0.24,0.059,0.188,0.998,0.005,0.003,0.003,0.245,0.052,0.018,0.038,0.655,4.78,2.195,1.779,22.12,1.873,1.42,0.773,11.496,7.378,1.74,4.008,17.104,0.269,0.065,0.211,0.94,15.032,4.39,8.005,37.702
resnet34,int8,INT8,raw,1,raw,SmokeFire_unified,8120,77.94,97.46,73.2,83.61,6.33,26.8,4567,119,1672,1762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.041,0.991,2.879,11.208,0.964,0.721,0.457,5.275,5.09,1.1,4.254,12.305,0.253,0.064,0.199,1.38,10.595,2.256,8.323,22.51
resnet34,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,97.02,97.39,98.77,98.07,8.77,1.23,6162,165,77,1716,0.224,0.04,0.181,2.671,0.005,0.002,0.003,0.15,0.035,0.01,0.025,0.399,2.159,1.037,0.856,11.615,1.706,1.421,0.506,14.663,24.218,4.646,18.156,112.279,1.732,1.041,1.053,7.842,31.602,6.456,22.631,125.065
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.51,96.82,98.7,97.75,10.74,1.3,6158,202,81,1679,0.225,0.025,0.195,0.622,0.005,0.007,0.002,0.598,0.051,0.011,0.041,0.417,4.949,2.273,2.046,21.019,2.148,1.781,0.809,13.974,31.13,4.739,25.807,51.814,1.65,0.808,1.163,7.979,41.939,7.331,32.183,85.901
resnet34,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,78.3,97.6,73.57,83.9,6.01,26.43,4590,113,1649,1768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.116,1.148,2.881,15.935,1.414,1.154,0.482,11.373,26.239,5.447,18.123,105.907,1.749,1.075,1.077,7.728,35.14,6.978,24.452,116.219
resnet34,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,97.02,97.38,98.78,98.07,8.83,1.22,6163,166,76,1715,0.237,0.059,0.181,0.978,0.005,0.007,0.002,0.569,0.035,0.016,0.025,0.698,1.941,0.904,0.807,6.796,1.143,0.906,0.477,7.507,7.353,1.586,4.023,19.574,0.268,0.077,0.202,1.615,11.207,2.684,6.684,27.467
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.53,96.82,98.72,97.76,10.74,1.28,6159,202,80,1679,0.309,0.078,0.191,1.872,0.006,0.003,0.003,0.124,0.066,0.03,0.04,1.475,6.087,2.933,1.906,28.022,2.377,1.679,0.803,10.988,15.197,4.449,6.417,31.14,0.385,0.114,0.217,2.548,24.965,6.996,10.774,51.623
resnet34,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,78.25,97.6,73.51,83.85,6.01,26.49,4586,113,1653,1768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.906,1.26,2.894,12.333,1.104,0.765,0.44,12.644,7.872,1.756,4.015,17.975,0.307,0.085,0.203,1.872,14.474,3.011,8.049,29.015
