model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms,dataset_folder,run_folder
resnet50,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,40.97,94.88,15.5,26.65,1.88,84.5,278,15,1515,784,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.718,2.211,2.911,14.949,1.04,0.787,0.481,5.283,35.246,5.619,21.483,102.545,1.56,0.804,1.111,8.004,44.529,7.375,28.104,113.692,IAI_Datasets,resnet50_pytorch_raw
alexnet,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,41.71,91.47,17.35,29.16,3.63,82.65,311,29,1482,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.697,1.207,2.856,18.574,0.671,0.436,0.445,4.0,4.453,0.516,3.935,8.771,0.239,0.048,0.199,0.866,9.296,1.666,8.066,25.316,IAI_Datasets,alexnet_int8_raw
vgg16,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,78.55,95.38,72.5,82.38,7.88,27.5,1300,63,493,736,0.224,0.036,0.198,0.648,0.005,0.001,0.003,0.045,0.051,0.019,0.041,0.438,5.173,2.394,1.837,19.268,2.021,1.687,0.82,9.481,92.042,9.882,74.677,129.997,2.154,0.756,1.301,7.389,103.053,11.078,82.34,142.753,IAI_Datasets,vgg16_pytorch_crops3
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,73.07,94.84,64.58,76.84,7.88,35.42,1158,63,635,736,0.215,0.031,0.187,1.154,0.005,0.001,0.003,0.016,0.048,0.009,0.04,0.218,5.305,2.643,1.777,16.035,1.979,1.555,0.783,8.274,7.893,1.46,6.963,16.444,0.248,0.04,0.207,0.693,16.131,4.74,10.737,36.184,IAI_Datasets,resnet18_tensorrt_crops3
vgg16,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,78.78,97.12,71.44,82.33,4.76,28.56,1281,38,512,761,0.217,0.03,0.187,0.699,0.005,0.002,0.003,0.061,0.032,0.013,0.024,0.614,2.259,1.332,0.856,11.201,1.25,1.112,0.478,6.88,12.034,2.739,5.815,27.942,0.245,0.054,0.19,0.97,16.268,4.347,11.641,37.226,IAI_Datasets,vgg16_int8_crops1
resnet34,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,74.38,90.94,69.94,79.07,15.64,30.06,1254,125,539,674,0.22,0.032,0.191,0.923,0.004,0.001,0.003,0.033,0.05,0.011,0.041,0.431,4.904,2.346,1.864,18.035,1.766,1.386,0.812,8.009,45.519,8.613,30.939,73.215,1.899,0.786,1.237,6.985,56.197,10.236,38.463,94.72,IAI_Datasets,resnet34_pytorch_crops3
resnet34,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,74.34,90.93,69.88,79.03,15.64,30.12,1253,125,540,674,0.219,0.036,0.187,0.985,0.005,0.003,0.003,0.063,0.05,0.023,0.041,0.688,5.104,2.599,1.805,16.411,1.845,1.475,0.802,9.808,12.336,2.388,6.59,28.201,0.262,0.058,0.212,0.833,20.243,5.271,14.777,46.64,IAI_Datasets,resnet34_tensorrt_crops3
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,67.75,89.91,60.12,72.06,15.14,39.88,1078,121,715,678,0.217,0.029,0.189,0.876,0.005,0.002,0.003,0.057,0.049,0.019,0.04,0.677,5.114,2.487,1.749,16.334,1.87,1.467,0.779,9.151,5.924,1.021,5.122,13.148,0.254,0.044,0.207,0.819,13.858,4.178,8.958,33.936,IAI_Datasets,mobilenet_v2_int8_crops3
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,73.03,94.76,64.58,76.82,8.01,35.42,1158,64,635,735,0.224,0.035,0.199,0.974,0.005,0.002,0.003,0.05,0.05,0.016,0.042,0.674,7.855,2.719,2.013,24.652,4.74,2.006,0.835,14.941,31.811,5.908,15.796,64.109,2.322,0.927,1.227,13.605,48.657,8.221,22.436,99.318,IAI_Datasets,resnet18_pytorch_crops3
resnet34,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,48.11,90.73,27.83,42.59,6.38,72.17,499,51,1294,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393,1.741,2.88,14.305,1.063,0.839,0.463,4.951,5.065,1.018,4.322,12.165,0.258,0.062,0.202,1.172,11.029,2.812,8.34,26.07,IAI_Datasets,resnet34_int8_raw
resnet34,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,75.54,94.54,68.6,79.51,8.89,31.4,1230,71,563,728,0.216,0.029,0.185,0.962,0.005,0.003,0.003,0.074,0.032,0.006,0.025,0.115,2.175,0.981,0.839,6.637,1.359,1.157,0.482,7.661,5.089,1.064,4.247,11.725,0.258,0.063,0.195,0.895,9.359,2.643,6.369,21.151,IAI_Datasets,resnet34_int8_crops1
resnet18,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,36.88,86.51,10.37,18.53,3.63,89.63,186,29,1607,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.906,0.947,2.899,11.825,1.132,0.898,0.46,7.436,19.038,5.081,10.073,51.375,1.639,1.238,1.05,9.33,27.086,7.109,15.987,67.191,IAI_Datasets,resnet18_pytorch_raw
alexnet,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.0,96.21,67.99,79.67,6.01,32.01,1219,48,574,751,0.211,0.019,0.19,0.381,0.004,0.001,0.003,0.048,0.047,0.007,0.039,0.121,4.089,1.84,1.811,17.209,1.159,0.638,0.81,7.015,5.255,0.505,4.899,10.373,0.239,0.04,0.205,0.893,11.39,2.48,8.885,27.31,IAI_Datasets,alexnet_int8_crops3
alexnet,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.23,96.52,68.1,79.86,5.51,31.9,1221,44,572,755,0.221,0.035,0.184,0.973,0.005,0.002,0.003,0.048,0.032,0.007,0.023,0.114,1.91,0.929,0.899,9.07,0.83,0.602,0.484,5.254,14.286,1.178,13.584,33.916,1.338,0.438,1.014,3.591,19.583,2.348,17.266,39.437,IAI_Datasets,alexnet_pytorch_crops1
mobilenet_v2,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,39.89,80.84,17.18,28.33,9.14,82.82,308,73,1485,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245,1.534,2.86,18.18,1.05,0.821,0.454,5.157,4.28,1.027,3.682,11.154,0.259,0.07,0.205,1.009,10.076,2.648,7.587,27.196,IAI_Datasets,mobilenet_v2_int8_raw
mobilenet_v2,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,70.68,95.51,60.46,74.04,6.38,39.54,1084,51,709,748,0.215,0.024,0.189,0.506,0.005,0.002,0.003,0.052,0.031,0.005,0.023,0.109,2.198,1.146,0.832,9.625,1.294,1.094,0.472,5.869,4.298,1.046,3.583,10.971,0.26,0.07,0.197,1.011,8.523,2.596,5.679,20.258,IAI_Datasets,mobilenet_v2_int8_crops1
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,73.38,90.76,68.49,78.07,15.64,31.51,1228,125,565,674,0.216,0.025,0.189,0.454,0.005,0.002,0.003,0.054,0.048,0.008,0.04,0.142,5.141,2.498,1.785,22.387,1.839,1.487,0.767,10.271,7.044,1.312,6.184,15.119,0.256,0.042,0.217,0.589,14.968,4.274,10.0,34.997,IAI_Datasets,resnet34_int8_crops3
mobilenet_v2,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,40.32,82.37,17.46,28.81,8.39,82.54,313,67,1480,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102,1.401,2.893,14.681,1.026,0.811,0.474,5.51,18.949,1.912,17.901,91.875,1.545,1.072,1.09,7.982,28.021,3.826,24.79,106.132,IAI_Datasets,mobilenet_v2_pytorch_raw
resnet34,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,48.96,90.24,29.39,44.34,7.13,70.61,527,57,1266,742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.215,1.635,2.892,14.015,1.006,0.809,0.44,4.859,7.257,1.392,6.425,15.941,0.255,0.055,0.201,0.863,12.976,3.057,10.4,29.995,IAI_Datasets,resnet34_tensorrt_raw
vgg16,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,79.44,97.09,72.45,82.98,4.88,27.55,1299,39,494,760,0.224,0.051,0.184,0.975,0.005,0.013,0.003,0.638,0.033,0.007,0.025,0.114,2.287,1.056,0.837,11.092,1.481,1.201,0.474,8.408,26.474,7.204,10.634,61.114,0.367,0.085,0.212,1.256,31.112,8.235,13.003,68.357,IAI_Datasets,vgg16_tensorrt_crops1
resnet50,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,73.88,95.96,64.97,77.49,6.13,35.03,1165,49,628,750,0.217,0.041,0.187,1.198,0.005,0.001,0.003,0.041,0.032,0.006,0.024,0.093,2.083,1.065,0.829,16.668,1.181,1.042,0.478,6.234,9.147,1.757,7.978,19.715,0.248,0.041,0.2,0.585,13.14,3.181,10.174,30.537,IAI_Datasets,resnet50_tensorrt_crops1
resnet50,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,71.45,91.36,64.86,75.86,13.77,35.14,1163,110,630,689,0.215,0.035,0.186,0.988,0.005,0.001,0.003,0.018,0.049,0.009,0.042,0.212,5.336,2.612,1.821,20.085,1.942,1.562,0.786,8.339,17.243,3.937,8.592,38.008,0.306,0.097,0.213,1.598,25.536,6.573,12.806,54.668,IAI_Datasets,resnet50_tensorrt_crops3
vgg16,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,77.74,95.24,71.39,81.61,8.01,28.61,1280,64,513,735,0.217,0.032,0.189,0.835,0.005,0.002,0.003,0.057,0.048,0.009,0.04,0.221,5.289,2.712,1.844,19.163,1.842,1.448,0.779,11.128,22.808,5.121,10.388,47.494,0.349,0.08,0.209,0.934,31.001,7.39,14.474,63.706,IAI_Datasets,vgg16_int8_crops3
resnet18,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,36.88,86.51,10.37,18.53,3.63,89.63,186,29,1607,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276,1.66,2.868,13.887,1.047,0.856,0.447,6.124,5.03,1.011,4.324,11.755,0.257,0.066,0.198,0.987,10.855,2.804,8.362,26.149,IAI_Datasets,resnet18_tensorrt_raw
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,69.68,89.8,63.36,74.3,16.15,36.64,1136,129,657,670,0.221,0.038,0.194,1.114,0.005,0.002,0.003,0.055,0.05,0.009,0.041,0.158,5.284,2.38,1.898,24.274,2.025,1.563,0.811,8.142,28.67,5.469,18.142,52.512,1.583,0.866,1.207,8.047,40.488,7.713,25.275,72.132,IAI_Datasets,mobilenet_v2_pytorch_crops3
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,72.49,94.93,63.64,76.19,7.63,36.36,1141,61,652,738,0.216,0.033,0.186,1.003,0.004,0.001,0.003,0.045,0.033,0.011,0.024,0.496,2.145,1.066,0.812,16.737,1.279,1.116,0.465,5.754,4.725,1.064,3.914,12.09,0.261,0.063,0.197,0.896,8.889,2.683,6.12,24.383,IAI_Datasets,mobilenet_v2_tensorrt_crops1
alexnet,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.16,96.3,68.15,79.82,5.88,31.85,1222,47,571,752,0.218,0.026,0.189,0.479,0.005,0.011,0.002,0.567,0.049,0.018,0.039,0.663,4.197,1.912,1.804,14.28,1.215,0.718,0.82,7.11,18.05,1.117,17.06,29.36,1.888,0.51,1.208,3.906,26.877,2.887,22.859,41.467,IAI_Datasets,alexnet_pytorch_crops3
mobilenet_v2,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,40.32,82.54,17.4,28.74,8.26,82.6,312,66,1481,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059,1.216,2.895,11.129,1.028,0.816,0.447,5.017,4.679,0.938,3.986,12.308,0.261,0.062,0.201,0.901,10.272,2.379,8.039,23.141,IAI_Datasets,mobilenet_v2_tensorrt_raw
resnet18,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,36.34,87.05,9.37,16.92,3.13,90.63,168,25,1625,774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991,1.25,2.896,15.969,0.977,0.787,0.467,4.752,3.382,0.502,2.864,8.583,0.251,0.076,0.196,1.013,8.844,2.056,6.903,22.006,IAI_Datasets,resnet18_int8_raw
resnet18,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,73.73,97.44,63.69,77.03,3.75,36.31,1142,30,651,769,0.218,0.035,0.189,1.117,0.004,0.002,0.002,0.065,0.032,0.006,0.023,0.108,2.131,1.128,0.843,13.755,1.215,1.044,0.493,6.5,3.367,0.558,2.941,8.821,0.246,0.071,0.189,0.976,7.436,2.24,5.052,21.057,IAI_Datasets,resnet18_int8_crops1
resnet34,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.16,94.34,69.72,80.18,9.39,30.28,1250,75,543,724,0.223,0.027,0.196,0.53,0.005,0.003,0.003,0.151,0.033,0.007,0.026,0.135,2.072,0.881,0.885,7.599,1.227,1.024,0.515,6.035,33.421,6.43,18.438,63.125,1.756,0.741,1.104,7.255,40.382,7.548,22.919,72.621,IAI_Datasets,resnet34_pytorch_crops1
resnet50,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,71.8,92.41,64.53,75.99,11.89,35.47,1157,95,636,704,0.218,0.031,0.19,0.983,0.005,0.002,0.003,0.046,0.049,0.01,0.04,0.223,5.136,2.653,1.854,20.306,1.861,1.498,0.779,11.413,9.602,1.767,8.533,19.2,0.251,0.045,0.211,0.98,17.551,4.797,12.495,42.463,IAI_Datasets,resnet50_int8_crops3
resnet50,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,71.49,91.37,64.92,75.9,13.77,35.08,1164,110,629,689,0.216,0.022,0.188,0.627,0.004,0.001,0.003,0.049,0.048,0.012,0.04,0.426,4.805,2.228,1.868,15.973,1.674,1.291,0.819,10.063,53.958,9.229,43.273,88.688,1.721,0.737,1.213,7.72,64.403,10.473,50.269,101.125,IAI_Datasets,resnet50_pytorch_crops3
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,69.64,89.73,63.36,74.27,16.27,36.64,1136,130,657,669,0.215,0.026,0.189,0.627,0.005,0.001,0.003,0.043,0.049,0.009,0.04,0.147,5.185,2.61,1.831,16.387,1.845,1.48,0.785,10.694,7.676,1.371,6.675,17.289,0.248,0.039,0.208,0.701,15.648,4.446,10.45,35.096,IAI_Datasets,mobilenet_v2_tensorrt_crops3
alexnet,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,76.23,96.52,68.1,79.86,5.51,31.9,1221,44,572,755,0.216,0.026,0.183,0.457,0.005,0.002,0.003,0.044,0.032,0.006,0.024,0.116,1.953,1.238,0.833,36.701,0.817,0.615,0.471,4.79,6.594,0.872,6.057,12.154,0.232,0.034,0.192,0.469,10.056,2.069,8.139,44.607,IAI_Datasets,alexnet_tensorrt_crops1
alexnet,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2592,42.13,92.46,17.79,29.84,3.25,82.21,319,26,1474,773,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.165,1.471,2.908,18.355,1.093,0.89,0.451,7.763,17.283,5.81,7.204,39.834,1.917,1.385,1.077,9.376,25.498,7.895,12.955,57.752,IAI_Datasets,alexnet_pytorch_raw
