model,backend,precision,crop_mode,num_crops,crop_factors,dataset,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
resnet18,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,84.1,97.15,77.85,86.44,4.26,22.15,1160,34,330,765,0.218,0.033,0.187,0.963,0.005,0.002,0.003,0.066,0.033,0.007,0.025,0.145,2.188,1.087,0.87,8.603,1.256,1.057,0.499,6.862,18.407,4.07,10.18,51.286,1.515,0.977,1.082,7.968,24.978,5.83,14.307,58.955
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,82.7,94.76,77.72,85.4,8.01,22.28,1158,64,332,735,0.224,0.035,0.199,0.974,0.005,0.002,0.003,0.05,0.05,0.016,0.042,0.674,7.855,2.719,2.013,24.652,4.74,2.006,0.835,14.941,31.811,5.908,15.796,64.109,2.322,0.927,1.227,13.605,48.657,8.221,22.436,99.318
resnet18,pytorch,FP32,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,41.76,86.51,12.48,21.82,3.63,87.52,186,29,1304,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.906,0.947,2.899,11.825,1.132,0.898,0.46,7.436,19.038,5.081,10.073,51.375,1.639,1.238,1.05,9.33,27.086,7.109,15.987,67.191
resnet18,tensorrt,FP16,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,84.1,97.15,77.85,86.44,4.26,22.15,1160,34,330,765,0.217,0.033,0.183,1.016,0.006,0.011,0.003,0.571,0.033,0.021,0.024,0.644,2.169,0.964,0.841,7.095,1.374,1.172,0.476,8.262,5.076,1.114,4.302,13.796,0.257,0.064,0.198,0.902,9.358,2.658,6.465,23.674
resnet18,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,82.74,94.84,77.72,85.43,7.88,22.28,1158,63,332,736,0.215,0.031,0.187,1.154,0.005,0.001,0.003,0.016,0.048,0.009,0.04,0.218,5.305,2.643,1.777,16.035,1.979,1.555,0.783,8.274,7.893,1.46,6.963,16.444,0.248,0.04,0.207,0.693,16.131,4.74,10.737,36.184
resnet18,tensorrt,FP16,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,41.76,86.51,12.48,21.82,3.63,87.52,186,29,1304,770,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.276,1.66,2.868,13.887,1.047,0.856,0.447,6.124,5.03,1.011,4.324,11.755,0.257,0.066,0.198,0.987,10.855,2.804,8.362,26.149
resnet34,int8,INT8,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,85.54,94.54,82.55,88.14,8.89,17.45,1230,71,260,728,0.216,0.029,0.185,0.962,0.005,0.003,0.003,0.074,0.032,0.006,0.025,0.115,2.175,0.981,0.839,6.637,1.359,1.157,0.482,7.661,5.089,1.064,4.247,11.725,0.258,0.063,0.195,0.895,9.359,2.643,6.369,21.151
resnet34,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,83.09,90.76,82.42,86.39,15.64,17.58,1228,125,262,674,0.216,0.025,0.189,0.454,0.005,0.002,0.003,0.054,0.048,0.008,0.04,0.142,5.141,2.498,1.785,22.387,1.839,1.487,0.767,10.271,7.044,1.312,6.184,15.119,0.256,0.042,0.217,0.589,14.968,4.274,10.0,34.997
resnet34,int8,INT8,raw,1,raw,/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,54.48,90.73,33.49,48.92,6.38,66.51,499,51,991,748,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.393,1.741,2.88,14.305,1.063,0.839,0.463,4.951,5.065,1.018,4.322,12.165,0.258,0.062,0.202,1.172,11.029,2.812,8.34,26.07
resnet34,pytorch,FP32,crops,1,[1.4142],/home/malat/PycharmProjects/Flame2/Sampled_Seperated_Dataset/IAI_Datasets,2289,86.24,94.34,83.89,88.81,9.39,16.11,1250,75,240,724,0.223,0.027,0.196,0.53,0.005,0.003,0.003,0.151,0.033,0.007,0.026,0.135,2.072,0.881,0.885,7.599,1.227,1.024,0.515,6.035,33.421,6.43,18.438,63.125,1.756,0.741,1.104,7.255,40.382,7.548,22.919,72.621
