model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.01,98.92,98.59,98.76,4.33,1.41,4840,53,69,1171,0.22,0.042,0.18,0.89,0.004,0.002,0.002,0.094,0.049,0.014,0.039,0.663,4.625,2.12,1.785,18.49,1.812,1.397,0.767,10.223,5.967,1.113,5.153,13.797,0.252,0.062,0.206,1.842,13.348,3.854,8.846,32.152
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,96.23,95.37,99.17,97.24,9.74,0.83,1319,64,11,593,0.226,0.058,0.189,1.004,0.005,0.002,0.002,0.065,0.049,0.011,0.038,0.23,4.582,2.021,1.899,14.002,1.836,1.381,0.769,8.559,6.025,1.22,5.177,14.208,0.258,0.075,0.21,2.203,13.403,3.812,9.32,33.239
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.57,98.14,98.72,98.43,6.22,1.28,6159,117,80,1764,0.221,0.046,0.180,1.004,0.004,0.002,0.002,0.094,0.049,0.013,0.038,0.663,4.614,2.096,1.785,18.490,1.818,1.393,0.767,10.223,5.981,1.139,5.153,14.208,0.253,0.065,0.206,2.203,13.361,3.844,8.846,33.239
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,67.75,89.91,60.12,72.06,15.14,39.88,1078,121,715,678,0.217,0.029,0.189,0.876,0.005,0.002,0.003,0.057,0.049,0.019,0.04,0.677,5.114,2.487,1.749,16.334,1.87,1.467,0.779,9.151,5.924,1.021,5.122,13.148,0.254,0.044,0.207,0.819,13.858,4.178,8.958,33.936
mobilenet_v2,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,76.71,89.91,72.35,80.18,15.14,27.65,1078,121,412,678,0.217,0.029,0.189,0.876,0.005,0.002,0.003,0.057,0.049,0.019,0.04,0.677,5.114,2.487,1.749,16.334,1.87,1.467,0.779,9.151,5.924,1.021,5.122,13.148,0.254,0.044,0.207,0.819,13.858,4.178,8.958,33.936
mobilenet_v2,int8,INT8,raw,1,raw,FireSmoke,6133,82.49,98.41,79.41,87.89,5.15,20.59,3898,63,1011,1161,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.792,0.882,2.87,10.251,0.938,0.715,0.436,5.756,4.266,1.036,3.563,11.136,0.248,0.072,0.2,2.392,9.485,2.166,7.614,22.985
mobilenet_v2,int8,INT8,raw,1,raw,FireSmokeNEW,1987,81.68,94.07,77.52,85.0,9.89,22.48,1031,65,299,592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.911,0.939,2.892,8.663,0.978,0.75,0.465,6.155,4.324,1.075,3.548,10.879,0.25,0.06,0.202,1.055,9.706,2.238,7.477,19.673
mobilenet_v2,int8,INT8,raw,1,raw,SmokeFire_unified,8120,82.29,97.47,79.00,87.27,6.80,21.00,4929,128,1310,1753,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.821,0.896,2.870,10.251,0.948,0.724,0.436,6.155,4.280,1.046,3.548,11.136,0.248,0.069,0.200,2.392,9.539,2.184,7.477,22.985
mobilenet_v2,int8,INT8,raw,1,raw,IAI_original,2592,39.89,80.84,17.18,28.33,9.14,82.82,308,73,1485,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245,1.534,2.86,18.18,1.05,0.821,0.454,5.157,4.28,1.027,3.682,11.154,0.259,0.07,0.205,1.009,10.076,2.648,7.587,27.196
mobilenet_v2,int8,INT8,raw,1,raw,IAI_filtered,2289,45.17,80.84,20.67,32.92,9.14,79.33,308,73,1182,726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.245,1.534,2.86,18.18,1.05,0.821,0.454,5.157,4.28,1.027,3.682,11.154,0.259,0.07,0.205,1.009,10.076,2.648,7.587,27.196
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],FireSmoke,6133,98.08,99.08,98.51,98.79,3.68,1.49,4836,45,73,1179,0.216,0.032,0.191,0.931,0.005,0.002,0.002,0.081,0.031,0.007,0.024,0.309,1.846,0.831,0.803,7.437,1.142,0.959,0.481,6.784,19.492,2.012,17.905,88.879,2.491,1.991,1.04,8.179,27.433,3.919,22.801,96.439
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],FireSmokeNEW,1987,97.33,96.85,99.25,98.03,6.54,0.75,1320,43,10,614,0.208,0.036,0.184,0.949,0.004,0.002,0.003,0.057,0.032,0.007,0.024,0.179,1.871,0.872,0.805,6.008,1.139,0.95,0.481,5.549,19.374,2.47,17.815,92.667,2.565,2.064,1.038,8.126,27.357,4.28,22.615,99.028
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,97.89,98.59,98.67,98.63,4.68,1.33,6156,88,83,1793,0.214,0.033,0.184,0.949,0.005,0.002,0.002,0.081,0.031,0.007,0.024,0.309,1.852,0.841,0.803,7.437,1.141,0.957,0.481,6.784,19.463,2.124,17.815,92.667,2.509,2.009,1.038,8.179,27.414,4.007,22.615,99.028
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],IAI_original,2592,72.49,94.93,63.64,76.19,7.63,36.36,1141,61,652,738,0.222,0.038,0.188,1.139,0.005,0.001,0.003,0.016,0.032,0.012,0.025,0.594,2.138,0.997,0.881,12.266,1.268,1.081,0.493,7.119,19.022,1.938,18.024,97.346,1.545,1.103,1.077,7.659,26.571,3.885,22.96,105.237
mobilenet_v2,pytorch,FP32,crops,1,[1.4142],IAI_filtered,2289,82.09,94.93,76.58,84.77,7.63,23.42,1141,61,349,738,0.222,0.038,0.188,1.139,0.005,0.001,0.003,0.016,0.032,0.012,0.025,0.594,2.138,0.997,0.881,12.266,1.268,1.081,0.493,7.119,19.022,1.938,18.024,97.346,1.545,1.103,1.077,7.659,26.571,3.885,22.96,105.237
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.03,99.02,98.51,98.76,3.92,1.49,4836,48,73,1176,0.219,0.028,0.188,1.252,0.005,0.001,0.003,0.046,0.05,0.01,0.04,0.365,4.569,1.929,1.937,15.823,1.834,1.316,0.814,9.251,24.273,5.322,17.91,45.879,1.596,0.932,1.172,8.493,34.892,6.912,25.064,61.924
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,96.88,96.21,99.25,97.71,7.91,0.75,1320,52,10,605,0.218,0.023,0.191,0.64,0.005,0.004,0.003,0.148,0.05,0.008,0.042,0.214,4.362,1.861,1.895,21.147,1.798,1.294,0.782,8.208,24.205,5.443,17.72,54.66,1.587,0.928,1.154,6.93,34.581,7.01,24.75,71.388
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.75,98.40,98.67,98.54,5.32,1.33,6156,100,83,1781,0.219,0.027,0.188,1.252,0.005,0.002,0.003,0.148,0.050,0.010,0.040,0.365,4.518,1.912,1.895,21.147,1.825,1.311,0.782,9.251,24.256,5.352,17.720,54.660,1.594,0.931,1.154,8.493,34.816,6.936,24.750,71.388
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,69.68,89.8,63.36,74.3,16.15,36.64,1136,129,657,670,0.221,0.038,0.194,1.114,0.005,0.002,0.003,0.055,0.05,0.009,0.041,0.158,5.284,2.38,1.898,24.274,2.025,1.563,0.811,8.142,28.67,5.469,18.142,52.512,1.583,0.866,1.207,8.047,40.488,7.713,25.275,72.132
mobilenet_v2,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,78.9,89.8,76.24,82.47,16.15,23.76,1136,129,354,670,0.221,0.038,0.194,1.114,0.005,0.002,0.003,0.055,0.05,0.009,0.041,0.158,5.284,2.38,1.898,24.274,2.025,1.563,0.811,8.142,28.67,5.469,18.142,52.512,1.583,0.866,1.207,8.047,40.488,7.713,25.275,72.132
mobilenet_v2,pytorch,FP32,raw,1,raw,FireSmoke,6133,78.3,98.67,73.88,84.5,4.0,26.12,3627,49,1282,1175,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.683,0.875,2.859,9.708,0.968,0.77,0.452,5.716,19.778,3.446,17.754,230.958,2.026,1.4,1.053,9.463,28.772,4.83,24.527,242.867
mobilenet_v2,pytorch,FP32,raw,1,raw,FireSmokeNEW,1987,78.11,95.25,70.83,81.24,7.15,29.17,942,47,388,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713,0.853,2.856,8.191,0.998,0.819,0.433,6.063,19.415,2.625,17.579,89.383,2.217,1.742,1.041,8.03,28.686,4.318,24.305,101.173
mobilenet_v2,pytorch,FP32,raw,1,raw,SmokeFire_unified,8120,78.25,97.94,73.23,83.80,5.10,26.77,4569,96,1670,1785,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.690,0.870,2.856,9.708,0.975,0.782,0.433,6.063,19.689,3.245,17.579,230.958,2.073,1.484,1.041,9.463,28.751,4.705,24.305,242.867
mobilenet_v2,pytorch,FP32,raw,1,raw,IAI_original,2592,40.32,82.37,17.46,28.81,8.39,82.54,313,67,1480,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102,1.401,2.893,14.681,1.026,0.811,0.474,5.51,18.949,1.912,17.901,91.875,1.545,1.072,1.09,7.982,28.021,3.826,24.79,106.132
mobilenet_v2,pytorch,FP32,raw,1,raw,IAI_filtered,2289,45.65,82.37,21.01,33.48,8.39,78.99,313,67,1177,732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.102,1.401,2.893,14.681,1.026,0.811,0.474,5.51,18.949,1.912,17.901,91.875,1.545,1.072,1.09,7.982,28.021,3.826,24.79,106.132
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],FireSmoke,6133,98.08,99.08,98.51,98.79,3.68,1.49,4836,45,73,1179,0.214,0.041,0.182,1.151,0.004,0.002,0.002,0.068,0.032,0.009,0.024,0.259,1.884,0.868,0.799,8.478,1.145,0.939,0.477,5.918,4.688,1.054,3.912,12.761,0.243,0.062,0.197,1.102,8.429,2.299,6.09,21.567
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],FireSmokeNEW,1987,97.28,96.77,99.25,98.0,6.7,0.75,1320,44,10,613,0.211,0.036,0.185,0.897,0.004,0.001,0.003,0.051,0.032,0.01,0.024,0.384,1.963,0.943,0.808,8.991,1.211,0.977,0.479,6.229,4.708,1.08,4.014,11.394,0.247,0.067,0.199,1.814,8.589,2.324,6.176,19.236
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,97.88,98.57,98.67,98.62,4.73,1.33,6156,89,83,1792,0.213,0.040,0.182,1.151,0.004,0.002,0.002,0.068,0.032,0.009,0.024,0.384,1.903,0.886,0.799,8.991,1.161,0.948,0.477,6.229,4.693,1.060,3.912,12.761,0.244,0.063,0.197,1.814,8.468,2.305,6.090,21.567
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],IAI_original,2592,72.49,94.93,63.64,76.19,7.63,36.36,1141,61,652,738,0.216,0.033,0.186,1.003,0.004,0.001,0.003,0.045,0.033,0.011,0.024,0.496,2.145,1.066,0.812,16.737,1.279,1.116,0.465,5.754,4.725,1.064,3.914,12.09,0.261,0.063,0.197,0.896,8.889,2.683,6.12,24.383
mobilenet_v2,tensorrt,FP16,crops,1,[1.4142],IAI_filtered,2289,82.09,94.93,76.58,84.77,7.63,23.42,1141,61,349,738,0.216,0.033,0.186,1.003,0.004,0.001,0.003,0.045,0.033,0.011,0.024,0.496,2.145,1.066,0.812,16.737,1.279,1.116,0.465,5.754,4.725,1.064,3.914,12.09,0.261,0.063,0.197,0.896,8.889,2.683,6.12,24.383
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.04,99.04,98.51,98.77,3.84,1.49,4836,47,73,1177,0.232,0.054,0.18,0.941,0.005,0.002,0.003,0.11,0.051,0.017,0.04,0.613,4.721,2.185,1.814,23.653,1.823,1.404,0.782,9.943,7.962,1.802,4.263,20.189,0.263,0.059,0.21,0.821,15.485,4.405,8.292,36.649
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,96.88,96.21,99.25,97.71,7.91,0.75,1320,52,10,605,0.235,0.058,0.185,0.903,0.005,0.002,0.002,0.042,0.052,0.02,0.039,0.632,4.523,2.138,1.825,33.729,1.814,1.404,0.776,8.418,8.066,1.87,4.288,18.849,0.266,0.062,0.211,0.894,15.393,4.399,8.338,45.336
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.76,98.42,98.67,98.54,5.26,1.33,6156,99,83,1782,0.233,0.055,0.180,0.941,0.005,0.002,0.002,0.110,0.051,0.018,0.039,0.632,4.673,2.173,1.814,33.729,1.821,1.404,0.776,9.943,7.987,1.819,4.263,20.189,0.264,0.060,0.210,0.894,15.462,4.404,8.292,45.336
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,69.64,89.73,63.36,74.27,16.27,36.64,1136,130,657,669,0.215,0.026,0.189,0.627,0.005,0.001,0.003,0.043,0.049,0.009,0.04,0.147,5.185,2.61,1.831,16.387,1.845,1.48,0.785,10.694,7.676,1.371,6.675,17.289,0.248,0.039,0.208,0.701,15.648,4.446,10.45,35.096
mobilenet_v2,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,78.86,89.73,76.24,82.44,16.27,23.76,1136,130,354,669,0.215,0.026,0.189,0.627,0.005,0.001,0.003,0.043,0.049,0.009,0.04,0.147,5.185,2.61,1.831,16.387,1.845,1.48,0.785,10.694,7.676,1.371,6.675,17.289,0.248,0.039,0.208,0.701,15.648,4.446,10.45,35.096
mobilenet_v2,tensorrt,FP16,raw,1,raw,FireSmoke,6133,78.25,98.72,73.78,84.45,3.84,26.22,3622,47,1287,1177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.886,0.993,2.88,10.007,0.939,0.727,0.436,5.593,4.711,1.029,2.844,12.458,0.251,0.068,0.192,1.129,10.031,2.27,7.216,24.5
mobilenet_v2,tensorrt,FP16,raw,1,raw,FireSmokeNEW,1987,78.01,95.24,70.68,81.14,7.15,29.32,940,47,390,610,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.958,1.017,2.896,8.657,0.961,0.765,0.461,6.318,4.75,1.081,3.954,11.833,0.258,0.072,0.203,0.949,10.17,2.338,8.044,22.541
mobilenet_v2,tensorrt,FP16,raw,1,raw,SmokeFire_unified,8120,78.19,97.98,73.12,83.74,5.00,26.88,4562,94,1677,1787,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.904,0.999,2.880,10.007,0.944,0.736,0.436,6.318,4.721,1.042,2.844,12.458,0.253,0.069,0.192,1.129,10.065,2.287,7.216,24.500
mobilenet_v2,tensorrt,FP16,raw,1,raw,IAI_original,2592,40.32,82.54,17.4,28.74,8.26,82.6,312,66,1481,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059,1.216,2.895,11.129,1.028,0.816,0.447,5.017,4.679,0.938,3.986,12.308,0.261,0.062,0.201,0.901,10.272,2.379,8.039,23.141
mobilenet_v2,tensorrt,FP16,raw,1,raw,IAI_filtered,2289,45.65,82.54,20.94,33.4,8.26,79.06,312,66,1178,733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.059,1.216,2.895,11.129,1.028,0.816,0.447,5.017,4.679,0.938,3.986,12.308,0.261,0.062,0.201,0.901,10.272,2.379,8.039,23.141
resnet18,int8,INT8,crops,1,[1.4142],FireSmoke,6133,98.84,99.35,99.21,99.28,2.61,0.79,4870,32,39,1192,0.213,0.034,0.186,0.954,0.004,0.001,0.003,0.051,0.032,0.008,0.023,0.188,1.865,0.849,0.829,10.05,1.167,0.949,0.486,6.409,3.373,0.563,2.825,8.887,0.238,0.061,0.192,1.325,7.114,1.914,4.977,19.601
resnet18,int8,INT8,crops,1,[1.4142],FireSmokeNEW,1987,97.38,97.12,99.02,98.06,5.94,0.98,1317,39,13,618,0.208,0.028,0.179,0.765,0.004,0.002,0.003,0.053,0.032,0.007,0.023,0.175,1.915,0.932,0.822,7.819,1.18,0.958,0.471,6.199,3.36,0.553,2.838,8.504,0.237,0.06,0.19,0.907,7.155,1.968,4.99,17.132
resnet18,int8,INT8,crops,1,[1.4142],SmokeFire_unified,8120,98.49,98.87,99.17,99.02,3.77,0.83,6187,71,52,1810,0.212,0.033,0.179,0.954,0.004,0.001,0.003,0.053,0.032,0.008,0.023,0.188,1.877,0.869,0.822,10.050,1.170,0.951,0.471,6.409,3.370,0.561,2.825,8.887,0.238,0.061,0.190,1.325,7.124,1.927,4.977,19.601
resnet18,int8,INT8,crops,1,[1.4142],IAI_original,2592,73.73,97.44,63.69,77.03,3.75,36.31,1142,30,651,769,0.218,0.035,0.189,1.117,0.004,0.002,0.002,0.065,0.032,0.006,0.023,0.108,2.131,1.128,0.843,13.755,1.215,1.044,0.493,6.5,3.367,0.558,2.941,8.821,0.246,0.071,0.189,0.976,7.436,2.24,5.052,21.057
resnet18,int8,INT8,crops,1,[1.4142],IAI_filtered,2289,83.49,97.44,76.64,85.8,3.75,23.36,1142,30,348,769,0.218,0.035,0.189,1.117,0.004,0.002,0.002,0.065,0.032,0.006,0.023,0.108,2.131,1.128,0.843,13.755,1.215,1.044,0.493,6.5,3.367,0.558,2.941,8.821,0.246,0.071,0.189,0.976,7.436,2.24,5.052,21.057
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.63,99.06,99.23,99.15,3.76,0.77,4871,46,38,1178,0.216,0.041,0.189,1.076,0.004,0.003,0.002,0.116,0.048,0.01,0.038,0.382,4.618,2.116,1.846,20.125,1.785,1.381,0.781,11.845,4.814,1.139,4.041,12.297,0.24,0.052,0.2,1.116,12.142,3.866,7.926,31.464
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,96.02,95.23,99.02,97.09,10.05,0.98,1317,66,13,591,0.215,0.04,0.188,0.85,0.004,0.002,0.003,0.048,0.048,0.01,0.04,0.189,4.439,2.044,2.072,22.982,1.788,1.396,0.768,10.905,4.782,1.1,4.152,12.438,0.241,0.05,0.202,1.026,11.933,3.793,8.012,35.244
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.99,98.22,99.18,98.70,5.95,0.82,6188,112,51,1769,0.216,0.041,0.188,1.076,0.004,0.003,0.002,0.116,0.048,0.010,0.038,0.382,4.574,2.098,1.846,22.982,1.786,1.385,0.768,11.845,4.806,1.129,4.041,12.438,0.240,0.052,0.200,1.116,12.091,3.848,7.926,35.244
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,72.34,94.61,63.64,76.09,8.14,36.36,1141,65,652,734,0.215,0.029,0.18,0.887,0.005,0.002,0.003,0.068,0.049,0.014,0.039,0.624,5.197,2.736,1.771,25.48,1.868,1.563,0.778,9.75,4.833,1.021,4.096,11.827,0.249,0.049,0.205,0.981,12.844,4.472,7.716,33.389
resnet18,int8,INT8,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,81.91,94.61,76.58,84.64,8.14,23.42,1141,65,349,734,0.215,0.029,0.18,0.887,0.005,0.002,0.003,0.068,0.049,0.014,0.039,0.624,5.197,2.736,1.771,25.48,1.868,1.563,0.778,9.75,4.833,1.021,4.096,11.827,0.249,0.049,0.205,0.981,12.844,4.472,7.716,33.389
resnet18,int8,INT8,raw,1,raw,FireSmoke,6133,77.52,98.78,72.81,83.83,3.59,27.19,3574,44,1335,1180,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.748,0.88,2.883,8.787,0.922,0.714,0.44,8.597,3.305,0.413,2.84,8.393,0.238,0.063,0.193,1.198,8.453,1.7,6.808,21.123
resnet18,int8,INT8,raw,1,raw,FireSmokeNEW,1987,76.2,94.96,68.05,79.28,7.31,31.95,905,48,425,609,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.737,0.852,2.884,11.16,0.941,0.728,0.458,5.764,3.305,0.466,2.856,9.345,0.236,0.057,0.193,1.148,8.456,1.696,6.938,17.907
resnet18,int8,INT8,raw,1,raw,SmokeFire_unified,8120,77.19,97.99,71.79,82.87,4.89,28.21,4479,92,1760,1789,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,3.745,0.873,2.883,11.160,0.927,0.717,0.440,8.597,3.305,0.426,2.840,9.345,0.238,0.062,0.193,1.198,8.454,1.699,6.808,21.123
resnet18,int8,INT8,raw,1,raw,IAI_original,2592,36.34,87.05,9.37,16.92,3.13,90.63,168,25,1625,774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991,1.25,2.896,15.969,0.977,0.787,0.467,4.752,3.382,0.502,2.864,8.583,0.251,0.076,0.196,1.013,8.844,2.056,6.903,22.006
resnet18,int8,INT8,raw,1,raw,IAI_filtered,2289,41.15,87.05,11.28,19.96,3.13,88.72,168,25,1322,774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.991,1.25,2.896,15.969,0.977,0.787,0.467,4.752,3.382,0.502,2.864,8.583,0.251,0.076,0.196,1.013,8.844,2.056,6.903,22.006
resnet18,pytorch,FP32,crops,1,[1.4142],FireSmoke,6133,98.71,99.29,99.1,99.19,2.86,0.9,4865,35,44,1189,0.215,0.025,0.185,0.613,0.005,0.005,0.003,0.385,0.032,0.007,0.024,0.201,1.788,0.816,0.84,9.317,1.026,0.799,0.488,6.484,15.413,4.514,10.139,50.471,2.289,1.92,1.061,8.981,21.955,6.007,14.179,57.729
resnet18,pytorch,FP32,crops,1,[1.4142],FireSmokeNEW,1987,97.53,97.27,99.1,98.18,5.63,0.9,1318,37,12,620,0.214,0.023,0.193,0.665,0.004,0.001,0.002,0.045,0.032,0.007,0.024,0.194,1.773,0.836,0.837,7.522,1.02,0.874,0.481,11.691,14.575,3.634,10.074,65.574,2.132,1.863,1.028,8.073,20.951,5.259,14.074,79.591
resnet18,pytorch,FP32,crops,1,[1.4142],SmokeFire_unified,8120,98.42,98.85,99.10,98.98,3.83,0.90,6183,72,56,1809,0.215,0.025,0.185,0.665,0.005,0.004,0.002,0.385,0.032,0.007,0.024,0.201,1.784,0.821,0.837,9.317,1.025,0.817,0.481,11.691,15.208,4.299,10.074,65.574,2.251,1.906,1.028,8.981,21.709,5.824,14.074,79.591
resnet18,pytorch,FP32,crops,1,[1.4142],IAI_original,2592,74.27,97.15,64.7,77.67,4.26,35.3,1160,34,633,765,0.218,0.033,0.187,0.963,0.005,0.002,0.003,0.066,0.033,0.007,0.025,0.145,2.188,1.087,0.87,8.603,1.256,1.057,0.499,6.862,18.407,4.07,10.18,51.286,1.515,0.977,1.082,7.968,24.978,5.83,14.307,58.955
resnet18,pytorch,FP32,crops,1,[1.4142],IAI_filtered,2289,84.1,97.15,77.85,86.44,4.26,22.15,1160,34,330,765,0.218,0.033,0.187,0.963,0.005,0.002,0.003,0.066,0.033,0.007,0.025,0.145,2.188,1.087,0.87,8.603,1.256,1.057,0.499,6.862,18.407,4.07,10.18,51.286,1.515,0.977,1.082,7.968,24.978,5.83,14.307,58.955
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.57,99.06,99.14,99.1,3.76,0.86,4867,46,42,1178,0.224,0.027,0.198,1.364,0.005,0.002,0.003,0.056,0.051,0.008,0.041,0.414,4.691,2.142,1.896,21.417,1.817,1.392,0.8,10.554,25.576,6.162,15.634,46.691,1.748,0.919,1.18,7.775,35.64,7.87,21.757,64.592
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,96.12,95.3,99.1,97.16,9.89,0.9,1318,65,12,592,0.226,0.04,0.197,1.485,0.005,0.001,0.003,0.027,0.054,0.017,0.041,0.511,5.735,3.425,1.966,21.694,2.983,2.574,0.823,14.147,25.37,5.589,15.656,46.945,1.992,1.1,1.193,8.054,37.928,9.325,21.898,73.109
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,97.97,98.24,99.13,98.68,5.90,0.87,6185,111,54,1770,0.224,0.030,0.197,1.485,0.005,0.002,0.003,0.056,0.052,0.010,0.041,0.511,4.946,2.456,1.896,21.694,2.102,1.681,0.800,14.147,25.526,6.022,15.634,46.945,1.808,0.963,1.180,8.054,36.200,8.226,21.757,73.109
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,73.03,94.76,64.58,76.82,8.01,35.42,1158,64,635,735,0.224,0.035,0.199,0.974,0.005,0.002,0.003,0.05,0.05,0.016,0.042,0.674,7.855,2.719,2.013,24.652,4.74,2.006,0.835,14.941,31.811,5.908,15.796,64.109,2.322,0.927,1.227,13.605,48.657,8.221,22.436,99.318
resnet18,pytorch,FP32,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,82.7,94.76,77.72,85.4,8.01,22.28,1158,64,332,735,0.224,0.035,0.199,0.974,0.005,0.002,0.003,0.05,0.05,0.016,0.042,0.674,7.855,2.719,2.013,24.652,4.74,2.006,0.835,14.941,31.811,5.908,15.796,64.109,2.322,0.927,1.227,13.605,48.657,8.221,22.436,99.318
resnet18,pytorch,FP32,raw,1,raw,FireSmoke,6133,76.78,98.85,71.83,83.2,3.35,28.17,3526,41,1383,1183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.713,0.731,2.901,12.369,0.924,0.679,0.483,4.859,19.954,6.419,9.985,102.468,1.916,1.362,1.045,8.706,27.862,7.446,15.866,119.733
