model,backend,precision,crop_mode,num_crops,crop_factors,dataset_view,num_images,accuracy,fire_precision,fire_recall,fire_f1,fpr,fnr,TP,FP,FN,TN,mean_input_and_metadata_ms,std_input_and_metadata_ms,min_input_and_metadata_ms,max_input_and_metadata_ms,mean_region_validation_ms,std_region_validation_ms,min_region_validation_ms,max_region_validation_ms,mean_crop_extraction_ms,std_crop_extraction_ms,min_crop_extraction_ms,max_crop_extraction_ms,mean_resize_and_preprocess_ms,std_resize_and_preprocess_ms,min_resize_and_preprocess_ms,max_resize_and_preprocess_ms,mean_batch_construction_ms,std_batch_construction_ms,min_batch_construction_ms,max_batch_construction_ms,mean_model_inference_ms,std_model_inference_ms,min_model_inference_ms,max_model_inference_ms,mean_majority_vote_ms,std_majority_vote_ms,min_majority_vote_ms,max_majority_vote_ms,mean_total_ms,std_total_ms,min_total_ms,max_total_ms
alexnet,tensorrt,FP16,crops,1,[1.4142],FireSmoke,6133,98.43,98.82,99.23,99.02,4.74,0.77,4871,58,38,1166,0.21,0.028,0.181,0.642,0.005,0.005,0.002,0.35,0.031,0.009,0.023,0.396,1.596,0.63,0.82,5.445,0.762,0.451,0.489,5.889,6.475,0.647,5.953,13.712,0.225,0.019,0.196,0.459,9.508,1.189,8.229,17.625
alexnet,tensorrt,FP16,crops,1,[1.4142],FireSmokeNEW,1987,94.82,93.48,99.17,96.24,14.0,0.83,1319,92,11,565,0.206,0.036,0.173,0.915,0.004,0.002,0.002,0.055,0.031,0.006,0.024,0.13,1.677,0.76,0.823,7.048,0.793,0.513,0.491,3.931,6.579,0.99,6.008,14.867,0.23,0.024,0.196,0.529,9.726,1.576,8.179,24.769
alexnet,tensorrt,FP16,crops,1,[1.4142],SmokeFire_unified,8120,97.55,97.63,99.21,98.42,7.97,0.79,6190,150,49,1731,0.209,0.030,0.173,0.915,0.005,0.004,0.002,0.350,0.031,0.008,0.023,0.396,1.616,0.662,0.820,7.048,0.770,0.466,0.489,5.889,6.500,0.731,5.953,14.867,0.226,0.020,0.196,0.529,9.561,1.284,8.179,24.769
alexnet,tensorrt,FP16,crops,1,[1.4142],IAI_original,2592,76.23,96.52,68.1,79.86,5.51,31.9,1221,44,572,755,0.216,0.026,0.183,0.457,0.005,0.002,0.003,0.044,0.032,0.006,0.024,0.116,1.953,1.238,0.833,36.701,0.817,0.615,0.471,4.79,6.594,0.872,6.057,12.154,0.232,0.034,0.192,0.469,10.056,2.069,8.139,44.607
alexnet,tensorrt,FP16,crops,1,[1.4142],IAI_filtered,2289,86.33,96.52,81.95,88.64,5.51,18.05,1221,44,269,755,0.216,0.026,0.183,0.457,0.005,0.002,0.003,0.044,0.032,0.006,0.024,0.116,1.953,1.238,0.833,36.701,0.817,0.615,0.471,4.79,6.594,0.872,6.057,12.154,0.232,0.034,0.192,0.469,10.056,2.069,8.139,44.607
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmoke,6133,98.21,98.45,99.33,98.88,6.29,0.67,4876,77,33,1147,0.21,0.021,0.186,0.563,0.005,0.002,0.003,0.107,0.047,0.008,0.038,0.181,3.684,1.527,1.82,14.305,1.135,0.544,0.763,6.144,7.457,0.662,6.942,19.166,0.231,0.021,0.204,0.624,13.156,1.995,10.671,32.962
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",FireSmokeNEW,1987,92.9,91.09,99.1,94.92,19.63,0.9,1318,129,12,528,0.207,0.02,0.183,0.373,0.004,0.002,0.003,0.046,0.048,0.011,0.038,0.402,3.626,1.433,2.087,12.857,1.17,0.613,0.765,6.051,7.504,0.768,6.915,17.988,0.235,0.021,0.206,0.489,13.184,2.014,11.087,29.04
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",SmokeFire_unified,8120,96.91,96.78,99.28,98.01,10.95,0.72,6194,206,45,1675,0.209,0.021,0.183,0.563,0.005,0.002,0.003,0.107,0.047,0.009,0.038,0.402,3.670,1.504,1.820,14.305,1.144,0.561,0.763,6.144,7.469,0.688,6.915,19.166,0.232,0.021,0.204,0.624,13.163,2.000,10.671,32.962
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_original,2592,76.16,96.3,68.15,79.82,5.88,31.85,1222,47,571,752,0.212,0.023,0.189,0.756,0.005,0.002,0.003,0.075,0.047,0.007,0.035,0.134,4.239,2.058,1.856,20.583,1.185,0.664,0.794,6.73,7.492,0.693,7.087,13.437,0.236,0.026,0.208,0.672,13.819,2.709,11.082,33.601
alexnet,tensorrt,FP16,crops,3,"[1.2247, 1.4142, 2.0]",IAI_filtered,2289,86.24,96.3,82.01,88.58,5.88,17.99,1222,47,268,752,0.212,0.023,0.189,0.756,0.005,0.002,0.003,0.075,0.047,0.007,0.035,0.134,4.239,2.058,1.856,20.583,1.185,0.664,0.794,6.73,7.492,0.693,7.087,13.437,0.236,0.026,0.208,0.672,13.819,2.709,11.082,33.601
